ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake,Notghi
380,Olkkola 1996,https://www.ncbi.nlm.nih.gov/pubmed/8623953,day 1 (po) with Perpetrator (Fluconazole),Midazolam,Fluconazole,PO,PO,Plasma,2.5,arith. mean,,,2.5,arith. Mean,,,0,inf,2,inf,h,,400,,mg,PO,0,h,MD,,,,,,,,,,1
381,Olkkola 1996,https://www.ncbi.nlm.nih.gov/pubmed/8623953,day 4 (iv) with Perpetrator (Fluconazole),Midazolam,Fluconazole,IV,PO,Plasma,2.040816327,Approx. Avg,,,,,,,0,inf,74,inf,h,,400/200,,mg,PO,400: 0; 200: 24-48-72,h,MD,,,,,,,,,,1
382,Olkkola 1996,https://www.ncbi.nlm.nih.gov/pubmed/8623953,day 6 (po) with Perpetrator (Fluconazole),Midazolam,Fluconazole,PO,PO,Plasma,3.6,arith. mean,,,1.7,arith. Mean,,,0,inf,122,inf,h,,400/200,,mg,PO,400: 0; 200: 24-48-72-96-120,h,MD,,,,,,,,,,1
370,Olkkola 1994,https://www.ncbi.nlm.nih.gov/pubmed/8181191,po with Perpetrator (Itraconazole),Midazolam,Itraconazole,PO,PO,Plasma,10.8,arith. mean,,,3.4,arith. Mean,,,0,inf,73,inf,h,,200,,mg,PO,0-24-48-72,h,MD,itraconazole,"Sporanox, Orion",,,,Fasted,2,5,,1
371,Olkkola 1994,https://www.ncbi.nlm.nih.gov/pubmed/8181191,po with Perpetrator (Ketoconazole,Midazolam,Ketoconazole,PO,PO,Plasma,15.9,arith. mean,,,4.1,arith. Mean,,,0,inf,73,inf,h,,400,,mg,PO,0-24-48-72,h,MD,ketoconazole,"Nizoral, Orion",,,,Fasted,2,5,,1
366,Olkkola 1993,https://www.ncbi.nlm.nih.gov/pubmed/8453848,po with Perpetrator (Erythromycin),Midazolam,Erythromycin,PO,PO,Plasma,4.416666667,Approx. Avg,,,2.7,Approx. Avg,,,0,inf,128,inf,h,,500,,mg,PO,(S0-T8-R16)-126-136-144-152-160,h,three times a day,erythromycin base,"Etromycin, 500 mg enterotablet, Orion Pharmaceutical Company Ltd.",,200,,,,,,1
368,Olkkola 1993,https://www.ncbi.nlm.nih.gov/pubmed/8453848,iv with Perpetrator (Erythromycin),Midazolam,Erythromycin,IV,PO,Plasma,2.166666667,Approx. Avg,,,,,,,0,inf,128,inf,h,,500,,mg,PO,(S0-T8-R16)-126-136-144-152-160,h,three times a day,erythromycin base,"Etromycin, 500 mg enterotablet, Orion Pharmaceutical Company Ltd.",,200,,,,,,1
401,Saari 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580904,po with Perpetrator (Voriconazole),Midazolam,Voriconazole,PO,PO,Plasma,9.85,geo. Mean,8.23-11.79,90% CI,3.56,geo. Mean,2.85-4.44,90% CI,0,inf,37,inf,h,,400/200,,mg,PO,400mg: 0-12; 200mg: 24-36,h,MD,voriconazole,Vfend tablet; Pfizer,,150,The last dose of voriconazole was given at 8 AM with 150 mL of water,Fasted,11,5,,1
404,Saari 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580904,iv with Perpetrator (Voriconazole),Midazolam,Voriconazole,IV,PO,Plasma,3.61,geo. Mean,3.20-4.08,90% CI,,,,,0,inf,37,inf,h,,400/200,,mg,PO,400mg: 0-12; 200mg: 24-36,h,MD,voriconazole,Vfend tablet; Pfizer,,150,The last dose of voriconazole was given at 8 AM with 150 mL of water,Fasted,11,5,,1
420,Swart 2002,https://www.ncbi.nlm.nih.gov/pubmed/11851636 ,day 10 Control with Perpetrator (Erythromycin),Midazolam,Erythromycin,IV,PO,Plasma,1.52,Approx. Avg,,,,,,,0,inf,96,inf,h,"according to the methods section, AUC was calculated, but data are not given in text or tables.",500,,mg,PO,0-(S0-T6-R20),h,"erythromycin was taken 4 times per day, but timing was not specified. A fixed dose interval oh tau=6h was assumed. Midazolam and lignocaine were co-administered with erythromycin.",,Capsule,,200,2x 100-mg itraconazole capsules with coated sugar spheres,,,,,1
362,Okudaira 2007,https://www.ncbi.nlm.nih.gov/pubmed/17585116,EM 2 with Perpetrator (Erythromycin),Midazolam,Erythromycin,PO,PO,Plasma,2.32,arith. mean,0.9,arith. SD,1.818181818,Approx. Avg,,,0,inf,25,73,h,,200,,mg,PO,0-5-10.5-15-24-29-34.5-39,h,MD,erythromycin,Erythrocin; Dainippon Pharmaceutical Co,,150,,Fed,,,standardized light breakfast at 07:20am,1
363,Okudaira 2007,https://www.ncbi.nlm.nih.gov/pubmed/17585116,EM 4 with Perpetrator (Erythromycin),Midazolam,Erythromycin,PO,PO,Plasma,3.38,arith. mean,1.6,arith. SD,2.4,Approx. Avg,,,0,inf,73,145,h,,200,,mg,PO,0-5-10.5-15-24-29-34.5-39-48-53-58.5-63-72-77-82.5-87,h,MD,erythromycin,Erythrocin; Dainippon Pharmaceutical Co,,150,,Fed,,,standardized light breakfast at 07:20am,1
364,Okudaira 2007,https://www.ncbi.nlm.nih.gov/pubmed/17585116,EM 7 with Perpetrator (Erythromycin),Midazolam,Erythromycin,PO,PO,Plasma,3.38,arith. mean,1.4,arith. SD,2.345454545,Approx. Avg,,,0,inf,145,inf,h,,200,,mg,PO,0-5-10.5-15-24-29-34.5-39-48-53-58.5-63-72-77-82.5-87-96-101-106.5-111-120-125-130.5-135-144-149-154.5-159,h,MD,erythromycin,Erythrocin; Dainippon Pharmaceutical Co,,150,,Fed,,,standardized light breakfast at 07:20am,1
424,Templeton 2010,https://www.ncbi.nlm.nih.gov/pubmed/20739919,with Perpetrator (Itraconazole @ 50 mg),Midazolam,Itraconazole,PO,PO,Plasma,2,arith. Mean,0.6,arith. SD,,,,,0,inf,4,inf,h,,50,,mg,PO,0,h,SD,,Oral solution,,,,Fasted,,0.5,wrt. administration of midazolam,1
425,Templeton 2010,https://www.ncbi.nlm.nih.gov/pubmed/20739919,with Perpetrator (Itraconazole @ 200 mg),Midazolam,Itraconazole,PO,PO,Plasma,4.7,arith. Mean,1.4,arith. SD,,,,,0,inf,4,inf,h,,200,,mg,PO,0,h,SD,,Oral solution,,,,Fasted,,0.5,wrt. administration of midazolam,1
426,Templeton 2010,https://www.ncbi.nlm.nih.gov/pubmed/20739919,with Perpetrator (Itraconazole @ 400 mg),Midazolam,Itraconazole,PO,PO,Plasma,5.4,arith. Mean,1.5,arith. SD,,,,,0,inf,4,inf,h,,400,,mg,PO,0,h,SD,,Oral solution,,,,Fasted,,0.5,wrt. administration of midazolam,1
428,Tham 2006,https://www.ncbi.nlm.nih.gov/pubmed/16628140,with Perpetrator (Ketoconazole 50 mg),Midazolam,Ketoconazole,IV,PO,Plasma,1.588235294,Approx. Avg,,,,,,,0,inf,47,inf,h,,200,,mg,PO,0-12-24-36-48-60,h,MD,ketoconazole,Janssen Cilag,,,at 8am and 8pm,,,,,1
50,Ahonen 1995,http://www.ncbi.nlm.nih.gov/pubmed/8527290,with Perpetrator (Itraconazole),Midazolam,Itraconazole,PO,PO,Plasma,5.745098039,Approx. Avg,,,2.558823529,Approx. Avg,,,0,inf,74,inf,h,,100,,mg,PO,"(S-0,T-24,R-4)",h,OD,,Sporanox,,,Sporanox Janssen,,,,,1
571,Iwamoto 2008,https://www.ncbi.nlm.nih.gov/pubmed/18513146,"Study I, Period 2 (single oral dose of 100 mg raltegravir with multiple doses of 400 mg atazanavir)",Raltegravir,Atazanavir,PO,PO,Plasma,1.72,Geom. mean,1.47-2.02,90% CI,1.53,Geom. mean,1.11-2.12,90% CI,0,inf,144,inf,h,,400,,mg,PO,0-24-48-72-96-120-144-168-192,h,MD QD,,,,,,Fed,,,,
573,Neely 2010,https://www.ncbi.nlm.nih.gov/pubmed/20823282,Study arm B (Raltegravir 400mg + Atazanavir 400 mg once daily),Raltegravir,Atazanavir,PO,PO,Plasma,1.72,Geom. mean,,,,,,,168,180,168,192,h,AUCR is ratio of reported CL/F in steady state,400,,mg,PO,0-24-48-72-96-120-144-168,h,MD QD,,,,,Capsule,Semifasted,1,2,,
575,Krishna 2016,https://www.ncbi.nlm.nih.gov/pubmed/27696440,"Period 2, Day 7 (single oral dose of 1200 mg raltegravir with multiple oral QD doses of 400 mg atazanavir)",Raltegravir,Atazanavir,PO,PO,Plasma,1.67,Geom. mean,1.34-2.10,90% CI,1.16,Geom. mean,1.01-1.33,90% CI,0,inf,144,inf,h,,400,,mg,PO,0-24-48-72-96-120-144-168-192,h,MD QD,,,,,,Fed,,,standard moderate-fat breakfast,
579,Zhu 2010,https://www.ncbi.nlm.nih.gov/pubmed/21149917,Raltegravir 400 mg twice daily plus atazanavir 300 mg twice daily,Raltegravir,Atazanavir,PO,PO,Plasma,1.536,Geom. mean,1.135-2.081,CV,1.394,Geom. mean,0.990-1.964,CV,96,108,600,612,h,,400,400,mg,PO,288-300-312-324-336-348-360-372-384-396-408-420-432-444-456-468-480-492-504-516-528-540-552-564-576-588-600-612,h,MD BID,Atazanavir sulfate,Reyataz®; Bristol-Myers Squibb,,,,Fed,,,light meal (277 kcal),
